date,month,Area,state_county_code,unemp_rate
3/31/20,3,Trinity County,6105,9.2
1/31/20,1,Tulare County,6107,11
2/29/20,2,Tulare County,6107,11.5
3/31/20,3,Tulare County,6107,14.5
1/31/20,1,Tuolumne County,6109,4.9
2/29/20,2,Tuolumne County,6109,5
3/31/20,3,Tuolumne County,6109,6.2
1/31/20,1,Ventura County,6111,3.9
2/29/20,2,Ventura County,6111,3.7
3/31/20,3,Ventura County,6111,4.6
1/31/20,1,Yolo County,6113,4.9
2/29/20,2,Yolo County,6113,4.8
3/31/20,3,Yolo County,6113,5.9
1/31/20,1,Yuba County,6115,7
2/29/20,2,Yuba County,6115,6.9
3/31/20,3,Yuba County,6115,8.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
